Cuatrimestre,Clave,Nombre,CR,PRE-REQ
Primero,FGC-101,ORIENTACIÓN ACADÉMICA INSTITUCIONAL,2,-
Primero,FGC-102,MÉTODO DEL TRABAJO ACADÉMICO,2,-
Primero,FGC-103,METODOLOGÍA DE LA INVESTIGACIÓN,3,-
Primero,ADE-101,ADMINISTRACION I,3,-
Segundo,FGC-104,LENGUA ESPAÑOLA I,3,FGC-102
Segundo,FGC-105,MATEMÁTICA BÁSICA I,3,FGC-102
Segundo,FGC-106,TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIÓN I,3,FGC-102
Segundo,ING-101,INTRODUCCIÓN A LA INGENIERÍA,3,-
Tercero,FGC-107,HISTORIA SOCIAL DOMINICANA,3,FGC-102
Tercero,FGC-108,INGLÉS I,3,FGC-102
Tercero,DMF-209,FISICA I,4,FGC-105
Tercero,QUI-400,QUÍMICA I,3,FGC-105
Tercero,MTI-200,MATEMÁTICA II,4,FGC-105
Cuarto,FGC-109,FILOSOFÍA,2,FGC-102
Cuarto,FGC-110,DESARROLLO SOSTENIBLE Y GESTIÓN DE RIESGOS,2,FGC-102
Cuarto,MTI-300,MATEMÁTICA III,4,MTI-200
Cuarto,DMF-210,FISICA II,4,DMF-209
Quinto,MAT-241,ESTADISTICA I,3,FGC-105
Quinto,ING-102,CIENCIA E INGENIERÍA DE MATERIALES,4,QUI-400
Quinto,ING-103,CÁLCULO INTEGRAL,4,MTI-300
Quinto,INF-215,INGENIERÍA ECONÓMICA,3,MTI-200
Sexto,MAT-242,ESTADISTICA II,3,MAT-241
Sexto,ING-105,TALLER DE MECÁNICA DE HARDWARE,3,FGC-106
Sexto,ING-104,CÁLCULO VECTORIAL,4,ING-103
Sexto,INF-222,SISTEMA OPERATIVO I,3,FGC-106
Sexto,INF-221,INTRODUCCIÓN A LA PROGRAMACIÓN,3,FGC-106
Séptimo,TIC-408,SEGURIDAD DE LA INFORMACIÓN,3,FGC-106
Séptimo,IND-101,CIENCIA DE LOS DATOS,3,-
Séptimo,INF-437,REDES INFORMATICAS,3,FGC-106
Séptimo,ISW-301,TALLER DE PROGRAMACIÓN I,5,INF-221
Octavo,ISW-321,TALLER DE BASES DE DATOS I,4,INF-221
Octavo,TIC-402,ETICA EN TECNOLOGÍA,2,FGC-110
Octavo,IND-404,ELECTIVA I,3,7MO. CUAT.
Octavo,IND-314,TEORIA DE LA INFORMACIÓN,3,IND-101
Noveno,IND-324,SEÑALES Y SISTEMAS,3,IND-314
Noveno,IND-325,BÚSQUEDA Y ANALISIS DE LA INFORMACIÓN,3,IND-314
Noveno,IND-332,HERRAMIENTAS DE ANÁLISIS DE DATOS I,4,IND-101
Noveno,IND-334,ESTADÍSTICAS APLICADA A LA CIENCIA DE DATOS,3,MAT-242
Noveno,IND-335,INGENÍERIA DE DATOS I,4,IND-314
Décimo,IND-333,TRATAMIENTO DE AUDIO, VIDEO Y VISIÓN ARTIFICIAL,4,IND-324
Décimo,IND-412,HERRAMIENTAS DE ANÁLISIS DE DATOS II,4,IND-332
Décimo,IND-405,ELECTIVA II,3,9NO. CUAT.
Décimo,IND-401,PROYECTO DE DATOS E IO - I,5,IND-335
Décimo,IND-403,PASANTÍA - PRÁCTICA DE INGENIERÍA DE DATOS E IO,8,IND-335
Undécimo,IND-413,INGENÍERIA DE DATOS II,4,IND-335
Undécimo,IND-431,VISUALIZACIÓN DE DATOS,4,IND-325
Undécimo,IND-402,PROYECTO DE DATOS E IO - II,5,IND-401
Undécimo,IND-414,INGENIERÍA DE BIG DATA,4,ISW-321
Undécimo,FGC-111,SEMINARIO DE GRADO,3,FGC-103
Duodécimo,IND-421,APLICACIONES E INFRAESTRUCTURA DE BIG DATA,4,IND-414
Duodécimo,IND-423,MINERÍA DE DATOS,4,ISW-321
Duodécimo,IND-432,INTELIGENCIA DE NEGOCIOS,3,IND-413
Duodécimo,IND-600,PROYECTO INTEGRADOR DE DATOS E IO: TRABAJO DE GRADO,6,TODAS

